Name,Season,Injury,from,until,Days,Games missed
Boubacar Kamara,17/18,ankle sprain,"Apr 12, 2018","Apr 30, 2018",18 days,5
Boubacar Kamara,17/18,Ankle injury,"Nov 16, 2017","Jan 1, 2018",46 days,10
Boubacar Kamara,16/17,Broken arm,"Jan 19, 2017","Mar 13, 2017",53 days,8
Leander Dendoncker,20/21,Knock,"Dec 16, 2020","Jan 11, 2021",26 days,5
Leander Dendoncker,19/20,Knock,"Aug 31, 2019","Aug 31, 2019",0 days,-
Leander Dendoncker,18/19,Knock,"Aug 9, 2018","Sep 7, 2018",29 days,6
Leander Dendoncker,16/17,Groin problems,"Oct 4, 2016","Oct 14, 2016",10 days,2
Leander Dendoncker,15/16,Hamstring injury,"Apr 1, 2016","Apr 8, 2016",7 days,1
Leander Dendoncker,15/16,Adductor tear,"Jan 11, 2016","Feb 22, 2016",42 days,7
Douglas Luiz,18/19,Muscle injury,"May 1, 2019","May 10, 2019",9 days,1
Douglas Luiz,18/19,Muscle injury,"Mar 7, 2019","Apr 1, 2019",25 days,3
Douglas Luiz,18/19,Muscle injury,"Nov 1, 2018","Dec 1, 2018",30 days,3
Jacob Ramsey,23/24,Foot injury,"Oct 4, 2023","Nov 24, 2023",51 days,8
Jacob Ramsey,22/23,Hamstring injury,"Nov 23, 2022","Jan 8, 2023",46 days,4
John McGinn,22/23,Hamstring strain,"Jan 1, 2023","Feb 4, 2023",34 days,6
John McGinn,20/21,Quarantine,"Jun 1, 2021","Jun 4, 2021",3 days,1
John McGinn,19/20,Ankle injury,"Dec 21, 2019","Jun 5, 2020",167 days,15
John McGinn,18/19,Hamstring strain,"Jul 9, 2018","Jul 14, 2018",5 days,1
John McGinn,16/17,Ankle surgery,"Nov 24, 2016","Dec 24, 2016",30 days,4
John McGinn,14/15,Hamstring injury,"Apr 22, 2015","May 31, 2015",39 days,5
John McGinn,14/15,Knee injury,"Oct 29, 2014","Nov 24, 2014",26 days,7
John McGinn,14/15,Ill,"Sep 2, 2014","Sep 25, 2014",23 days,7
Youri Tielemans,22/23,Torn ankle ligaments,"Feb 26, 2023","Apr 10, 2023",43 days,9
Youri Tielemans,21/22,Calf injury,"Nov 7, 2021","Dec 7, 2021",30 days,8
Youri Tielemans,17/18,Meniscus injury,"Nov 26, 2017","Jan 14, 2018",49 days,11
Youri Tielemans,16/17,Ligament injury,"Sep 16, 2016","Sep 27, 2016",11 days,3
Nicolò Zaniolo,23/24,Groin problems,"Aug 1, 2023","Aug 22, 2023",21 days,2
Nicolò Zaniolo,22/23,depression,"Jan 31, 2023","Feb 8, 2023",8 days,-
Nicolò Zaniolo,22/23,flu,"Jan 15, 2023","Jan 18, 2023",3 days,1
Nicolò Zaniolo,22/23,Shoulder injury,"Aug 22, 2022","Sep 12, 2022",21 days,6
Nicolò Zaniolo,21/22,unknown injury,"May 29, 2022","Jun 8, 2022",10 days,5
Nicolò Zaniolo,21/22,Muscle fatigue,"May 14, 2022","May 18, 2022",4 days,1
Nicolò Zaniolo,21/22,Hip flexor problems,"Mar 30, 2022","Apr 9, 2022",10 days,2
Nicolò Zaniolo,21/22,muscular problems,"Feb 17, 2022","Feb 22, 2022",5 days,1
Nicolò Zaniolo,21/22,unknown injury,"Jan 8, 2022","Jan 11, 2022",3 days,1
Nicolò Zaniolo,21/22,Calf problems,"Nov 7, 2021","Nov 16, 2021",9 days,7
Nicolò Zaniolo,21/22,Knee injury,"Oct 17, 2021","Oct 24, 2021",7 days,3
Nicolò Zaniolo,21/22,Muscle fatigue,"Oct 3, 2021","Oct 11, 2021",8 days,6
Nicolò Zaniolo,21/22,bruise,"Sep 5, 2021","Sep 12, 2021",7 days,3
Nicolò Zaniolo,20/21,Corona virus,"Jan 18, 2021","Feb 8, 2021",21 days,4
Nicolò Zaniolo,20/21,Cruciate ligament tear,"Sep 7, 2020","May 31, 2021",266 days,63
Nicolò Zaniolo,19/20,Muscle fatigue,"Jul 18, 2020","Jul 21, 2020",3 days,1
Nicolò Zaniolo,19/20,Cruciate ligament tear,"Jan 13, 2020","Jul 3, 2020",172 days,16
Nicolò Zaniolo,18/19,Calf problems,"Mar 11, 2019","Mar 15, 2019",4 days,1
Leon Bailey,21/22,Thigh problems,"Dec 5, 2021","Feb 10, 2022",67 days,13
Leon Bailey,20/21,Quarantine,"Aug 27, 2020","Sep 10, 2020",14 days,-
Leon Bailey,19/20,Muscle injury,"Oct 17, 2019","Oct 31, 2019",14 days,4
Leon Bailey,19/20,Torn muscle fiber,"Sep 19, 2019","Oct 12, 2019",23 days,4
Leon Bailey,18/19,Hamstring injury,"Apr 21, 2019","May 8, 2019",17 days,2
Leon Bailey,17/18,cold,"Jan 4, 2018","Jan 8, 2018",4 days,-
Leon Bailey,17/18,infection,"Nov 23, 2017","Nov 30, 2017",7 days,1
Leon Bailey,16/17,Ill,"Mar 30, 2017","Apr 6, 2017",7 days,2
Moussa Diaby,22/23,Muscle injury,"Feb 17, 2023","Feb 21, 2023",4 days,1
Moussa Diaby,20/21,Corona virus,"Mar 18, 2021","Apr 1, 2021",14 days,4
Emiliano Buendía,23/24,Cruciate ligament tear,"Aug 9, 2023","Feb 9, 2024",184 days,32
Emiliano Buendía,20/21,Shin injury,"Sep 1, 2020","Sep 30, 2020",29 days,4
Emiliano Buendía,19/20,Muscle strain,"Jan 19, 2020","Jan 31, 2020",12 days,2
Emiliano Buendía,16/17,Ankle injury,"Nov 28, 2016","Dec 15, 2016",17 days,2
Emiliano Buendía,16/17,Ankle injury,"Jul 29, 2016","Nov 24, 2016",118 days,22
Bertrand Traoré,22/23,Knee injury,"Dec 28, 2022","Feb 15, 2023",49 days,3
Bertrand Traoré,21/22,Corona virus,"Jan 10, 2022","Jan 16, 2022",6 days,3
Bertrand Traoré,21/22,Strain in the thigh and gluteal muscles,"Oct 20, 2021","Dec 25, 2021",66 days,11
Bertrand Traoré,20/21,Bruised ribs,"Nov 2, 2020","Nov 20, 2020",18 days,3
Bertrand Traoré,20/21,Ill,"Sep 14, 2020","Sep 19, 2020",5 days,-
Bertrand Traoré,17/18,Inner ligament stretch of the knee,"Nov 24, 2017","Jan 13, 2018",50 days,9
Bertrand Traoré,16/17,Leg injury,"Dec 2, 2016","Jan 1, 2017",30 days,5
Bertrand Traoré,16/17,Foot injury,"Nov 7, 2016","Nov 16, 2016",9 days,1
Bertrand Traoré,15/16,Hip injury,"Sep 5, 2015","Sep 19, 2015",14 days,3
Bertrand Traoré,14/15,Leg injury,"Sep 11, 2014","Sep 18, 2014",7 days,1
Alphonse Areola,18/19,Back injury,"Dec 20, 2018","Jan 4, 2019",15 days,1
Alphonse Areola,16/17,Ankle injury,"Nov 5, 2016","Nov 17, 2016",12 days,3
Alphonse Areola,15/16,Outer ligament problems,"Mar 14, 2016","Mar 21, 2016",7 days,2
Lukasz Fabianski,20/21,Arm injury,"Feb 26, 2021","Mar 5, 2021",7 days,1
Lukasz Fabianski,20/21,Muscle strain,"Dec 30, 2020","Jan 15, 2021",16 days,2
Lukasz Fabianski,19/20,Hip injury,"Jan 11, 2020","Jan 27, 2020",16 days,3
Lukasz Fabianski,19/20,Hip injury,"Sep 28, 2019","Jan 1, 2020",95 days,34
Lukasz Fabianski,19/20,Groin injury,"Aug 8, 2019","Aug 9, 2019",1 days,-
Lukasz Fabianski,18/19,Arm injury,"Jan 31, 2019","Feb 3, 2019",3 days,-
Joseph Anang,22/23,Broken arm,"Aug 18, 2022","Jan 3, 2023",138 days,28
Nayef Aguerd,22/23,minor knock,"Oct 27, 2022","Oct 31, 2022",4 days,2
Nayef Aguerd,22/23,Ankle injury,"Jul 18, 2022","Oct 24, 2022",98 days,20
Nayef Aguerd,21/22,Ill,"Apr 14, 2022","Apr 18, 2022",4 days,1
Nayef Aguerd,21/22,Injury to the ankle,"Dec 20, 2021","Dec 27, 2021",7 days,1
Nayef Aguerd,20/21,Corona virus,"Nov 23, 2020","Dec 7, 2020",14 days,4
Nayef Aguerd,19/20,Ankle injury,"Nov 7, 2019","Jan 27, 2020",81 days,13
Nayef Aguerd,18/19,Hamstring strain,"May 23, 2019","Jun 3, 2019",11 days,3
Nayef Aguerd,18/19,Knee injury,"Mar 28, 2019","Apr 18, 2019",21 days,3
Nayef Aguerd,18/19,Groin strain,"Dec 6, 2018","Jan 21, 2019",46 days,6
Kurt Zouma,22/23,Hamstring injury,"Jan 27, 2023","Mar 4, 2023",36 days,7
Kurt Zouma,22/23,Knee injury,"Nov 12, 2022","Jan 9, 2023",58 days,5
Kurt Zouma,21/22,Ankle sprain,"Apr 18, 2022","Apr 25, 2022",7 days,1
Kurt Zouma,21/22,Hamstring injury,"Dec 6, 2021","Jan 17, 2022",42 days,10
Kurt Zouma,20/21,Knock,"Feb 1, 2021","Feb 4, 2021",3 days,1
Kurt Zouma,20/21,Rest,"Dec 28, 2020","Dec 31, 2020",3 days,1
Kurt Zouma,17/18,Knee injury,"Mar 29, 2018","Apr 5, 2018",7 days,1
Kurt Zouma,15/16,Cruciate ligament tear,"Feb 8, 2016","Nov 21, 2016",287 days,49
Kurt Zouma,14/15,Knee injury,"May 11, 2015","Jul 2, 2015",52 days,4
Konstantinos Mavropanos,23/24,Adductor pain,"Aug 15, 2023","Aug 22, 2023",7 days,-
Konstantinos Mavropanos,22/23,Shin injury,"May 4, 2023","May 15, 2023",11 days,2
Konstantinos Mavropanos,22/23,Head injury,"Jan 25, 2023","Jan 30, 2023",5 days,1
Konstantinos Mavropanos,22/23,muscular problems,"Oct 27, 2022","Nov 3, 2022",7 days,1
Konstantinos Mavropanos,21/22,Fitness,"Jan 3, 2022","Jan 13, 2022",10 days,1
Konstantinos Mavropanos,21/22,Corona virus,"Dec 27, 2021","Jan 3, 2022",7 days,-
Konstantinos Mavropanos,21/22,Torn muscle fiber,"Oct 28, 2021","Nov 18, 2021",21 days,4
Konstantinos Mavropanos,20/21,Adductor pain,"Dec 21, 2020","Dec 31, 2020",10 days,1
Konstantinos Mavropanos,20/21,Meniscus tear,"Oct 8, 2020","Nov 23, 2020",46 days,10
Konstantinos Mavropanos,20/21,Groin injury,"Aug 31, 2020","Oct 5, 2020",35 days,6
Konstantinos Mavropanos,19/20,Head injury,"Jun 11, 2020","Jun 18, 2020",7 days,2
Konstantinos Mavropanos,19/20,Pelvic injury,"Feb 24, 2020","Mar 9, 2020",14 days,2
Konstantinos Mavropanos,19/20,Groin injury,"Aug 8, 2019","Oct 7, 2019",60 days,13
Konstantinos Mavropanos,18/19,Groin strain,"Sep 10, 2018","Jan 14, 2019",126 days,33
Thilo Kehrer,20/21,Adductor pain,"Mar 20, 2021","Mar 30, 2021",10 days,3
Thilo Kehrer,20/21,Corona virus,"Jan 8, 2021","Jan 19, 2021",11 days,3
Thilo Kehrer,20/21,surgery,"Nov 9, 2020","Nov 29, 2020",20 days,6
Thilo Kehrer,20/21,Adductor pain,"Sep 14, 2020","Oct 25, 2020",41 days,10
Thilo Kehrer,20/21,Knock,"Jul 24, 2020","Jul 30, 2020",6 days,1
Thilo Kehrer,19/20,Foot injury,"Aug 12, 2019","Dec 8, 2019",118 days,26
Thilo Kehrer,18/19,Knock,"Apr 22, 2019","May 13, 2019",21 days,4
Thilo Kehrer,17/18,Eye injury,"Mar 12, 2018","Mar 29, 2018",17 days,5
Thilo Kehrer,17/18,influenza,"Mar 1, 2018","Mar 5, 2018",4 days,1
Thilo Kehrer,17/18,Shoulder injury,"Nov 27, 2017","Nov 30, 2017",3 days,-
Thilo Kehrer,14/15,Torn knee ligaments,"Mar 30, 2015","May 7, 2015",38 days,9
Angelo Ogbonna,21/22,Cruciate ligament tear,"Nov 8, 2021","Jul 21, 2022",255 days,39
Angelo Ogbonna,20/21,Ankle injury,"Feb 11, 2021","Apr 12, 2021",60 days,8
Angelo Ogbonna,20/21,Groin injury,"Nov 9, 2020","Nov 19, 2020",10 days,-
Angelo Ogbonna,19/20,Knee injury,"Jun 11, 2020","Jun 22, 2020",11 days,1
Angelo Ogbonna,16/17,Knee surgery,"Jan 22, 2017","Aug 10, 2017",200 days,20
Angelo Ogbonna,15/16,Hamstring strain,"Sep 14, 2015","Oct 17, 2015",33 days,8
Angelo Ogbonna,14/15,Ankle sprain,"Jan 16, 2015","Jan 23, 2015",7 days,1
Angelo Ogbonna,13/14,Knock,"Mar 20, 2014","Apr 3, 2014",14 days,5
Emerson Palmieri,21/22,Corona virus,"Jan 18, 2022","Jan 25, 2022",7 days,1
Emerson Palmieri,21/22,unknown injury,"Sep 8, 2021","Sep 11, 2021",3 days,-
Emerson Palmieri,19/20,Hamstring injury,"Sep 10, 2019","Oct 20, 2019",40 days,10
Emerson Palmieri,18/19,Knock,"Sep 13, 2018","Sep 25, 2018",12 days,3
Emerson Palmieri,17/18,Cruciate ligament tear,"May 29, 2017","Nov 2, 2017",157 days,20
Emerson Palmieri,16/17,Tendonitis,"Apr 6, 2017","Apr 20, 2017",14 days,2
Emerson Palmieri,16/17,Calf muscle tear,"Oct 31, 2016","Nov 14, 2016",14 days,3
Emerson Palmieri,14/15,Knock,"Apr 2, 2015","May 14, 2015",42 days,7
Aaron Cresswell,20/21,Ankle injury,"Dec 18, 2020","Dec 21, 2020",3 days,1
Aaron Cresswell,20/21,Groin injury,"Nov 1, 2020","Nov 7, 2020",6 days,1
Aaron Cresswell,19/20,Knock,"Jul 23, 2020","Jul 31, 2020",8 days,1
Aaron Cresswell,19/20,Knock,"Jan 2, 2020","Jan 9, 2020",7 days,1
Aaron Cresswell,19/20,Hamstring injury,"Dec 11, 2019","Dec 13, 2019",2 days,-
Aaron Cresswell,19/20,Groin injury,"Oct 6, 2019","Oct 24, 2019",18 days,1
Aaron Cresswell,18/19,Knee injury,"Apr 10, 2019","May 31, 2019",51 days,5
Aaron Cresswell,18/19,Head injury,"Mar 3, 2019","Mar 8, 2019",5 days,-
Aaron Cresswell,18/19,Broken toe,"Feb 24, 2019","Mar 1, 2019",5 days,1
Aaron Cresswell,18/19,Foot injury,"Feb 6, 2019","Feb 8, 2019",2 days,-
Aaron Cresswell,18/19,Hamstring injury,"Jan 20, 2019","Feb 3, 2019",14 days,2
Aaron Cresswell,18/19,Hamstring injury,"Dec 2, 2018","Dec 7, 2018",5 days,1
Aaron Cresswell,18/19,Calf injury,"Oct 28, 2018","Nov 2, 2018",5 days,1
Aaron Cresswell,16/17,Groin strain,"Nov 30, 2016","Dec 11, 2016",11 days,3
Aaron Cresswell,16/17,Knee injury,"Jul 23, 2016","Oct 15, 2016",84 days,16
Ben Johnson,18/19,Calf injury,"Mar 1, 2019","Mar 8, 2019",7 days,1
Vladimir Coufal,22/23,Hamstring injury,"May 3, 2023","May 16, 2023",13 days,4
Vladimir Coufal,18/19,Muscle injury,"Apr 10, 2019","Apr 25, 2019",15 days,5
Vladimir Coufal,18/19,Injury to abdominal muscles,"Nov 4, 2018","Nov 25, 2018",21 days,7
Vladimir Coufal,16/17,Knee bruise,"Feb 26, 2017","May 10, 2017",73 days,13
Edson lvarez,22/23,Knock,"Jan 11, 2023","Jan 13, 2023",2 days,1
Edson lvarez,21/22,Knee problems,"Feb 2, 2022","Feb 5, 2022",3 days,1
Edson lvarez,18/19,Muscle injury,"Dec 8, 2018","Dec 12, 2018",4 days,1
Tomas Soucek,19/20,muscular problems,"Feb 25, 2020","Mar 5, 2020",9 days,1
James Ward Prowse,20/21,Hamstring injury,"Nov 8, 2020","Nov 22, 2020",14 days,3
James Ward Prowse,19/20,Knee injury,"Feb 6, 2020","Feb 14, 2020",8 days,-
James Ward Prowse,16/17,Injury to the ankle,"Jan 26, 2017","Jan 29, 2017",3 days,1
James Ward Prowse,14/15,Broken foot,"Sep 20, 2014","Nov 29, 2014",70 days,31
Lucas Paquetá,22/23,Foot injury,"Apr 7, 2023","Apr 13, 2023",6 days,2
Lucas Paquetá,22/23,Shoulder injury,"Feb 11, 2023","Feb 21, 2023",10 days,2
Lucas Paquetá,22/23,Shoulder injury,"Oct 17, 2022","Nov 5, 2022",19 days,5
Lucas Paquetá,19/20,Thigh problems,"Sep 22, 2019","Sep 28, 2019",6 days,1
Lucas Paquetá,18/19,Ankle sprain,"Apr 2, 2019","Apr 17, 2019",15 days,3
Mohammed Kudus,23/24,minor knock,"Jul 24, 2023","Aug 5, 2023",12 days,-
Mohammed Kudus,22/23,Hamstring injury,"Apr 7, 2023","May 5, 2023",28 days,4
Mohammed Kudus,22/23,Ill,"Jan 7, 2023","Jan 13, 2023",6 days,2
Mohammed Kudus,21/22,Rib fracture,"Nov 15, 2021","Feb 6, 2022",83 days,17
Mohammed Kudus,21/22,Ankle injury,"Jul 16, 2021","Sep 16, 2021",62 days,8
Mohammed Kudus,20/21,Fitness,"Jan 14, 2021","Feb 9, 2021",26 days,6
Mohammed Kudus,20/21,Meniscus injury,"Oct 22, 2020","Jan 9, 2021",79 days,17
Mohammed Kudus,20/21,Knock,"Oct 2, 2020","Oct 9, 2020",7 days,2
Pablo Fornals,17/18,Hand injury,"Apr 10, 2018","Apr 24, 2018",14 days,2
Pablo Fornals,17/18,Ill,"Dec 9, 2017","Dec 13, 2017",4 days,1
Saïd Benrahma,20/21,Knock,"Oct 16, 2020","Oct 30, 2020",14 days,2
Maxwel Cornet,22/23,Calf injury,"Oct 1, 2022","Oct 1, 2022",0 days,1
Maxwel Cornet,21/22,Knee problems,"Apr 22, 2022","May 5, 2022",13 days,2
Maxwel Cornet,19/20,ankle sprain,"Feb 29, 2020","Mar 4, 2020",4 days,2
Maxwel Cornet,19/20,Hip bruise,"Dec 5, 2019","Dec 10, 2019",5 days,2
Maxwel Cornet,19/20,Muscle contusion,"Oct 2, 2019","Oct 6, 2019",4 days,2
Maxwel Cornet,18/19,Heel problems,"Mar 1, 2019","Mar 5, 2019",4 days,1
Maxwel Cornet,18/19,Leg injury,"Dec 5, 2018","Dec 22, 2018",17 days,5
Maxwel Cornet,18/19,Knee problems,"Dec 5, 2018","Dec 22, 2018",17 days,5
Maxwel Cornet,18/19,allergic reaction,"Oct 27, 2018","Oct 27, 2018",0 days,1
Maxwel Cornet,18/19,Heel problems,"Sep 26, 2018","Sep 26, 2018",0 days,1
Maxwel Cornet,18/19,Arch problems,"Aug 20, 2018","Aug 27, 2018",7 days,1
Jarrod Bowen,19/20,Knock,"Jul 23, 2020","Jul 25, 2020",2 days,-
Danny Ings,22/23,Knee injury,"Jan 21, 2023","Jan 21, 2023",0 days,1
Danny Ings,20/21,Knock,"Jan 6, 2021","Jan 25, 2021",19 days,3
Danny Ings,20/21,Hamstring injury,"Dec 20, 2020","Dec 28, 2020",8 days,1
Danny Ings,20/21,Knee injury,"Nov 2, 2020","Dec 6, 2020",34 days,3
Danny Ings,18/19,Hamstring injury,"Feb 3, 2019","Mar 30, 2019",55 days,8
Danny Ings,18/19,Hamstring injury,"Jan 3, 2019","Jan 18, 2019",15 days,3
Danny Ings,18/19,Hamstring injury,"Nov 14, 2018","Dec 15, 2018",31 days,7
Danny Ings,18/19,Knock,"Aug 26, 2018","Aug 31, 2018",5 days,1
Danny Ings,16/17,Knee surgery,"Oct 26, 2016","Aug 10, 2017",288 days,42
Danny Ings,15/16,Cruciate ligament tear,"Oct 15, 2015","May 12, 2016",210 days,54
Danny Ings,14/15,Hamstring injury,"Sep 15, 2014","Oct 16, 2014",31 days,7
Danny Ings,13/14,Torn lateral ankle ligament,"Mar 13, 2014","Apr 7, 2014",25 days,5
Michail Antonio,23/24,Knee injury,"Nov 18, 2023",-,11 days,1
Michail Antonio,20/21,Muscle injury,"Apr 6, 2021","Apr 29, 2021",23 days,3
Michail Antonio,20/21,Knock,"Feb 7, 2021","Feb 16, 2021",9 days,2
Michail Antonio,20/21,Muscle strain,"Dec 2, 2020","Dec 28, 2020",26 days,5
Michail Antonio,20/21,Hamstring injury,"Oct 25, 2020","Nov 29, 2020",35 days,8
Michail Antonio,20/21,Hamstring injury,"Oct 19, 2020","Oct 23, 2020",4 days,-
Michail Antonio,19/20,Groin injury,"Jan 26, 2020","Jan 31, 2020",5 days,1
Michail Antonio,19/20,Muscle strain,"Dec 30, 2019","Jan 21, 2020",22 days,4
Michail Antonio,19/20,Hamstring injury,"Aug 29, 2019","Nov 22, 2019",85 days,22
Michail Antonio,18/19,Ankle injury,"Aug 26, 2018","Aug 31, 2018",5 days,1
Michail Antonio,17/18,Hamstring injury,"Mar 31, 2018","Aug 10, 2018",132 days,19
Michail Antonio,17/18,Calf problems,"Dec 23, 2017","Feb 2, 2018",41 days,11
Michail Antonio,17/18,Bruised ribs,"Oct 20, 2017","Nov 28, 2017",39 days,8
Michail Antonio,16/17,Hamstring injury,"Apr 8, 2017","Aug 10, 2017",124 days,18
Michail Antonio,16/17,Hamstring injury,"Mar 18, 2017","Apr 4, 2017",17 days,4
Michail Antonio,16/17,Groin strain,"Nov 30, 2016","Dec 11, 2016",11 days,3
Bart Verbruggen,22/23,Virus,"Mar 23, 2023","Mar 25, 2023",2 days,2
Jason Steele,21/22,Corona virus,"Dec 14, 2021","Dec 28, 2021",14 days,2
Jason Steele,20/21,Knock,"Jan 12, 2021","Feb 9, 2021",28 days,7
Jason Steele,18/19,Knock,"Feb 10, 2019","May 31, 2019",110 days,17
Jason Steele,13/14,Ankle injury,"Dec 10, 2013","Dec 16, 2013",6 days,1
Adam Webster,22/23,muscular problems,"May 10, 2023","May 22, 2023",12 days,3
Adam Webster,22/23,minor knock,"Dec 20, 2022","Jan 5, 2023",16 days,4
Adam Webster,21/22,Groin injury,"Feb 18, 2022","Apr 8, 2022",49 days,6
Adam Webster,21/22,Calf injury,"Dec 1, 2021","Dec 25, 2021",24 days,3
Adam Webster,21/22,Hamstring injury,"Sep 11, 2021","Oct 18, 2021",37 days,6
Adam Webster,20/21,Ankle injury,"Feb 7, 2021","Feb 23, 2021",16 days,3
Adam Webster,19/20,Groin injury,"Jul 17, 2020","Jul 19, 2020",2 days,-
Adam Webster,19/20,Hamstring strain,"Jun 24, 2020","Jul 3, 2020",9 days,1
Adam Webster,19/20,Ankle injury,"Nov 2, 2019","Nov 22, 2019",20 days,2
Adam Webster,18/19,Knock,"May 5, 2019","Jul 5, 2019",61 days,1
Adam Webster,18/19,Ankle sprain,"Jan 12, 2019","Feb 1, 2019",20 days,3
Adam Webster,18/19,Head injury,"Jan 1, 2019","Jan 4, 2019",3 days,1
Adam Webster,18/19,Achilles tendon problems,"Dec 15, 2018","Dec 20, 2018",5 days,1
Adam Webster,17/18,Hamstring injury,"Apr 9, 2018","Apr 27, 2018",18 days,3
Adam Webster,17/18,Achilles tendon problems,"Jan 2, 2018","Jan 26, 2018",24 days,4
Adam Webster,17/18,Ankle ligament tear,"Aug 8, 2017","Sep 29, 2017",52 days,10
Adam Webster,16/17,Ankle injury,"Jan 19, 2017","May 6, 2017",107 days,19
Adam Webster,16/17,Ankle injury,"Jan 15, 2017","May 1, 2017",106 days,20
Adam Webster,16/17,Hamstring injury,"Nov 5, 2016","Nov 25, 2016",20 days,2
Adam Webster,16/17,Hamstring injury,"Sep 24, 2016","Oct 14, 2016",20 days,3
Adam Webster,16/17,Ankle injury,"Jul 13, 2016","Jul 19, 2016",6 days,-
Adam Webster,15/16,Knock,"Apr 19, 2016","May 8, 2016",19 days,5
Lewis Dunk,21/22,Knee injury,"Dec 1, 2021","Jan 22, 2022",52 days,9
Lewis Dunk,18/19,Knock,"Feb 10, 2019","Feb 25, 2019",15 days,1
Lewis Dunk,18/19,Ankle injury,"Aug 20, 2018","Aug 31, 2018",11 days,2
Igor,22/23,unknown injury,"Aug 9, 2022","Aug 23, 2022",14 days,3
Igor,20/21,unknown injury,"Mar 3, 2021","Apr 16, 2021",44 days,6
Igor,17/18,Achilles tendon irritation,"Aug 5, 2017","Aug 17, 2017",12 days,3
Igor,16/17,bruise,"Nov 24, 2016","Dec 31, 2016",37 days,2
Pervis Estupiñán,23/24,Muscle injury,"Nov 9, 2023",-,20 days,3
Pervis Estupiñán,23/24,Muscle injury,"Sep 30, 2023","Nov 8, 2023",39 days,7
Pervis Estupiñán,20/21,Muscle injury,"Mar 26, 2021","Apr 22, 2021",27 days,7
Pervis Estupiñán,20/21,Muscle injury,"Dec 14, 2020","Dec 17, 2020",3 days,1
Pervis Estupiñán,20/21,Muscle injury,"Oct 14, 2020","Oct 31, 2020",17 days,4
Pervis Estupiñán,18/19,Inner ligament injury,"Apr 1, 2019","May 18, 2019",47 days,6
Pervis Estupiñán,18/19,Pneumothorax,"Oct 28, 2018","Nov 26, 2018",29 days,7
Pervis Estupiñán,17/18,Muscle injury,"Dec 23, 2017","Feb 1, 2018",40 days,4
Pervis Estupiñán,17/18,Hamstring injury,"Nov 8, 2017","Dec 6, 2017",28 days,4
Tariq Lamptey,22/23,Knee injury,"Mar 5, 2023","May 31, 2023",87 days,19
Tariq Lamptey,21/22,Knee injury,"Apr 21, 2022","Apr 29, 2022",8 days,1
Tariq Lamptey,20/21,Hamstring injury,"Mar 6, 2021","Sep 18, 2021",196 days,27
Tariq Lamptey,20/21,Rest,"Feb 26, 2021","Feb 28, 2021",2 days,1
Tariq Lamptey,20/21,Hamstring injury,"Dec 16, 2020","Feb 24, 2021",70 days,16
Tariq Lamptey,20/21,Hamstring strain,"Dec 8, 2020","Dec 15, 2020",7 days,1
Tariq Lamptey,20/21,Hamstring injury,"Oct 4, 2020","Oct 17, 2020",13 days,5
Joël Veltman,21/22,Ankle injury,"Dec 15, 2021","Dec 28, 2021",13 days,2
Joël Veltman,21/22,Corona virus,"Aug 14, 2021","Aug 27, 2021",13 days,3
Joël Veltman,20/21,Knock,"Feb 2, 2021","Feb 5, 2021",3 days,1
Joël Veltman,19/20,Knee surgery,"Feb 2, 2020","May 31, 2020",119 days,10
Joël Veltman,19/20,Muscle injury,"Nov 22, 2019","Nov 29, 2019",7 days,2
Joël Veltman,17/18,Cruciate ligament tear,"Apr 20, 2018","Feb 1, 2019",287 days,45
Joël Veltman,17/18,Rest,"Oct 25, 2017","Oct 25, 2017",0 days,1
Joël Veltman,16/17,Ill,"Feb 15, 2017","Feb 17, 2017",2 days,1
Joël Veltman,16/17,Rest,"Oct 26, 2016","Oct 26, 2016",0 days,1
Joël Veltman,16/17,Rest,"Sep 21, 2016","Sep 21, 2016",0 days,1
Joël Veltman,15/16,Ill,"Nov 25, 2015","Nov 27, 2015",2 days,1
Joël Veltman,14/15,Thigh problems,"Feb 16, 2015","Feb 25, 2015",9 days,2
Joël Veltman,14/15,Hamstring strain,"Jan 11, 2015","Feb 6, 2015",26 days,4
Joël Veltman,13/14,Knee problems,"Aug 6, 2013","Sep 29, 2013",54 days,17
Billy Gilmour,21/22,Ankle injury,"Jan 8, 2022","Feb 5, 2022",28 days,5
Billy Gilmour,20/21,Corona virus,"Jun 21, 2021","Jul 1, 2021",10 days,1
Billy Gilmour,20/21,Knee injury,"Jul 9, 2020","Nov 17, 2020",131 days,27
Mahmoud Dahoud,22/23,Shoulder injury,"Aug 22, 2022","Nov 28, 2022",98 days,19
Mahmoud Dahoud,21/22,Shoulder injury,"Apr 11, 2022","Jul 4, 2022",84 days,5
Mahmoud Dahoud,21/22,Back problems,"Jan 17, 2022","Jan 20, 2022",3 days,1
Mahmoud Dahoud,21/22,Inner ligament stretch of the knee,"Sep 30, 2021","Nov 18, 2021",49 days,8
Mahmoud Dahoud,20/21,minor knock,"Dec 21, 2020","Dec 24, 2020",3 days,1
Mahmoud Dahoud,20/21,Ill,"Dec 7, 2020","Dec 10, 2020",3 days,1
Mahmoud Dahoud,19/20,Knee injury,"May 28, 2020","Jun 29, 2020",32 days,6
Mahmoud Dahoud,18/19,influenza,"Feb 28, 2019","Mar 11, 2019",11 days,3
Mahmoud Dahoud,18/19,infection,"Jan 3, 2019","Jan 7, 2019",4 days,-
